 против 	 against 	 preposition 
 количество осадков 	 rain ; rainfall 	 nature 
 приступ гнева 	 smoke ; fume 	 nature 
 снег 	 snow ; snowfall 	 nature 
 погода 	 weather ; weather condition ; conditions ; atmospheric condition 	 nature 
 ветер 	 wind ; air current ; current of air 	 nature 
 цветок 	 flower 	 nature 
 трава 	 grass 	 nature 
 дерево 	 tree 	 house 
 корень 	 root 	 nature 
 черенок ; стебель 	 stalk ; stem 	 nature 
 плод 	 fruit 	 food 
 семя ; зерно 	 seed 	 food 
 орех 	 nut 	 food 
 листва 	 leaf ; leafage ; foliage 	 nature 
 ветвь 	 branch 	 nature 
 имущество 	 property ; belongings ; holding 	 society 
 прибыль 	 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 business 
 настоящее время ; подарок 	 present 	 object 
 плата ; платёж ; уплата 	 payment 	 business 
 сумма налога ; размер 	 tax ; taxation ; revenue enhancement 	 business 
 интерес ; заинтересованность 	 interest 	 business 
 норма 	 rate ; charge per unit 	 business 
 право 	 right 	 society 
 охват 	 insurance 	 business 
 доверие 	 credit 	 business 
 деньги 	 money 	 business 
 перемена 	 change 	 business 
 банкнот ; кредитный билет 	 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 business 
 долг 	 debt 	 business 
 кипение 	 boiling 	 nature 
 эволюция 	 development ; evolution 	 nature 
 пищеварение 	 digestion 	 medicine 
 пыл ; страсть ; пламя 	 fire ; flame ; flaming 	 nature 
 рост 	 increase ; increment ; growth 	 abstract 
 действие 	 operation ; functioning ; performance 	 mathematics 
 количество ; число 	 number 	 linguistics 
 единица 	 unit of measurement ; unit 	 mathematics 
 бит 	 bit 	 computers 
 степень 	 degree 	 linguistics 
 квадрат 	 square ; second power 	 mathematics 
 корень 	 root 	 mathematics 
 походка ; шаг ; поступь 	 footstep ; pace ; step ; stride 	 mathematics 
 капля 	 drop ; drib ; driblet 	 object 
 связь 	 connection ; connexion ; connectedness 	 abstract 
 часть ; доля 	 part ; portion ; component part ; component ; constituent 	 abstract 
 подробность ; деталь 	 detail ; particular ; item 	 logistics 
 остаток 	 remainder ; balance ; residual ; residue ; residuum ; rest 	 business 
 чешуя 	 scale 	 mathematics 
 руководство ; управление 	 direction 	 mathematics 
 неопределённая величина 	 north ; due north ; northward ; N 	 logistics 
 ми ; восток 	 east ; due east ; eastward ; E 	 logistics 
 юг 	 south ; due south ; southward ; S 	 logistics 
 запад 	 west ; due west ; westward ; W 	 logistics 
 соревнование ; конкуренция 	 competition 	 business 
 нечто обратное ; противоположное 	 reverse ; contrary ; opposite 	 abstract 
 кривая ; дуга 	 curve ; curved shape 	 art 
 круг 	 circle 	 mathematics 
 завиток ; волюта 	 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 object 
 квадрат 	 square ; foursquare 	 mathematics 
 арка 	 arch 	 house 
 угол 	 angle 	 mathematics 
 загиб 	 fold ; crease ; plication ; flexure ; crimp ; bend 	 object 
 точка 	 point ; dot 	 linguistics 
 состояние 	 condition ; status 	 abstract 
 счёт ; расчёт 	 account ; business relationship 	 business 
 товарищество ; чувство товарищества ; группа 	 company ; companionship ; fellowship ; society 	 society 
 степень 	 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 abstract 
 существование 	 being ; beingness ; existence 	 society 
 согласие 	 harmony ; concord ; concordance 	 art 
 мир 	 peace 	 abstract 
 война 	 war ; state of war 	 society 
 весы 	 balance 	 physics 
 сон 	 sleep ; slumber 	 nature 
 что-л. обычное ; привычное 	 estrus ; oestrus ; heat ; rut 	 nature 
 болезнь 	 disease 	 medicine 
 холод 	 cold ; common cold 	 medicine 
 укус 	 bite 	 medicine 
 вред ; убыток 	 wound ; lesion 	 medicine 
 чиханье ; чихание 	 sneeze ; sneezing ; sternutation 	 medicine 
 страдание ; боль 	 pain ; hurting 	 medicine 
 кашель 	 cough ; coughing 	 medicine 
 бесчестье ; позор 	 shame ; disgrace ; ignominy 	 relations 
 господство 	 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 abstract 
 власть ; владычество 	 dominion ; rule 	 society 
 утешение 	 comfort ; comfortableness 	 abstract 
 потребность 	 need ; demand 	 abstract 
 удобный случай 	 opportunity ; chance 	 abstract 
 первая ; низшая передача 	 low ; depression 	 nature 
 сырость ; влажность 	 moisture ; wet 	 nature 
 опасность 	 danger 	 abstract 
 материал 	 material ; stuff 	 material 
 губка 	 sponge 	 object 
 кислота 	 acid 	 material 
 металл 	 metallic element ; metal 	 material 
 медь 	 copper ; Cu ; atomic number 29 	 material 
 золото 	 gold ; Au ; atomic number 79 	 material 
 железо 	 iron ; Fe ; atomic number 26 	 material 
 свинец 	 lead ; Pb ; atomic number 82 	 material 
 серебро 	 silver ; Ag ; atomic number 47 	 material 
 олово 	 tin ; Sn ; atomic number 50 	 material 
 тесто 	 paste 	 material 
 латунь ; жёлтая медь 	 brass 	 material 
 кожа 	 leather 	 material 
 углевод 	 carbohydrate ; saccharide ; sugar 	 food 
 сталь 	 steel 	 material 
 химикалии 	 chemical ; chemical substance 	 material 
 уголь 	 coal 	 material 
 пробка 	 cork 	 nature 
 пыль 	 dust 	 material 
 воздух 	 air 	 nature 
 дыхание 	 breath 	 anatomy 
 земля 	 earth ; ground 	 material 
 вода 	 water ; H2O 	 material 
 пустыня 	 waste ; waste material ; waste matter ; waste product 	 material 
 жир 	 fat 	 material 
 хлопок 	 cotton ; cotton fiber ; cotton wool 	 material 
 стекло 	 glass 	 material 
 лёд 	 ice ; water ice 	 material 
 чернила 	 ink 	 material 
 жидкость 	 liquid 	 nature 
 масло 	 oil 	 material 
 бумага 	 paper 	 material 
 нефть 	 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 material 
 краска 	 coloring material ; colouring material ; color ; colour 	 art 
 глянец 	 polish 	 material 
 порошок 	 powder ; pulverization ; pulverisation 	 material 
 песок 	 sand 	 material 
 яд ; отрава to hate like poison смертельно ненавидеть 	 poison ; toxicant ; poisonous substance 	 material 
 пар 	 steam 	 physics 
 воск 	 wax 	 material 
 лес 	 wood 	 material 
 шерсть 	 wool 	 material 
 настоящее 	 present ; nowadays 	 time 
 прошлое 	 past ; past times ; yesteryear 	 time 
 история 	 history 	 society 
 будущее ; грядущее 	 future ; hereafter ; futurity ; time to come 	 time 
 время 	 fourth dimension ; time 	 physics 
 неделя 	 week ; calendar week 	 time 
 день 	 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 nature 
 завтрашний день 	 tomorrow 	 time 
 вчерашний день 	 yesterday 	 time 
 утро 	 morning ; morn ; morning time ; forenoon 	 time 
 тьма ; темнота ; ночь 	 night ; nighttime ; dark 	 nature 
 год 	 year ; twelvemonth ; yr 	 time 
 месяц 	 calendar month ; month 	 time 
 час ; время 	 hour ; hr ; 60 minutes 	 time 
 минута 	 minute ; min 	 time 
 низшего качества ; товар второго сорта 	 second ; sec ; s 	 time 
 осень 	 fall ; autumn 	 nature 
 весенняя пора ; весна 	 spring ; springtime 	 nature 
 лето ; летнее время 	 summer ; summertime 	 nature 
 зима 	 winter ; wintertime 	 nature 
 начало ; отправление 	 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 abstract 
 фаза ; период ; этап ; стадия ; ступень 	 phase ; stage 	 time 
 чихать 	 sneeze 	 verb 
 кашлять ; кашель 	 cough 	 verb 
 улыбаться 	 smile 	 verb 
 смеяться 	 laugh ; express joy ; express mirth 	 verb 
 колотить ; пороть ; бить 	 soap ; lather 	 verb 
 плакать 	 cry ; weep 	 verb 
 ранить 	 injure ; wound 	 verb 
 переделывать 	 change ; alter ; modify 	 verb 
 округлять(ся) 	 round off ; round down ; round out ; round 	 verb 
 употр. как глагол-связка делаться ; становиться 	 become ; go ; get 	 verb 
 возрастать ; увеличивать(ся) 	 increase 	 verb 
 мочить ; смачивать ; увлажнять 	 wet 	 verb 
 сушить(ся) ; сохнуть ; высыхать 	 dry ; dry out 	 verb 
 сушить(ся) ; сохнуть ; высыхать 	 dry ; dry out 	 verb 
 ограничивать 	 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 verb 
 повреждать ; портить 	 damage 	 verb 
 раздавить 	 crush 	 verb 
 начинаться 	 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 verb 
 греть(ся) ; нагревать(ся) ; согревать(ся) 	 warm 	 verb 
 вести огонь ; палить ; стрелять 	 burn ; fire ; burn down 	 verb 
 приготовить 	 fix ; prepare ; set up ; ready ; gear up ; set 	 verb 
 заканчивать ; завершать 	 complete ; finish 	 verb 
 разрешить 	 let 	 verb 
 обрабатывать 	 process ; treat 	 verb 
 дрессировать 	 train ; develop ; prepare ; educate 	 verb 
 измерять ; мерить 	 measure ; mensurate ; measure out 	 verb 
 классифицировать ; подбирать 	 classify ; class ; sort ; assort ; sort out ; separate 	 verb 
 оценивать 	 rate ; rank ; range ; order ; grade ; place 	 verb 
 сомневаться ; иметь сомнения 	 doubt 	 verb 
 поражать ; удивлять 	 surprise 	 verb 
 приказывать 	 order ; tell ; enjoin ; say 	 verb 
 просить 	 request ; bespeak ; call for ; quest 	 verb 
 вызывать 	 induce ; stimulate ; cause ; have ; get ; make 	 verb 
 уговаривать ; убеждать 	 argue ; reason 	 verb 
 называть 	 call ; telephone ; call up ; phone ; ring 	 verb 
 отвечать 	 answer ; reply ; respond 	 verb 
 показывать 	 introduce ; present ; acquaint 	 verb 
 возражать ; протестовать 	 protest 	 verb 
 вопить ; кричать 	 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 verb 
 говорить 	 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 verb 
 нумеровать ; числить 	 number 	 verb 
 подписывать(ся)	 sign ; subscribe 	
 тесьмой ; связывать шнуром 	 record ; tape 	 verb 
 говорить 	 state ; say ; tell 	 verb 
 имя 	 name ; call 	 verb 
 бронёй ; покрывать кольчугой ; отправить 	 mail ; post ; send 	 verb 
 играть 	 play 	 verb 
 драться 	 contend ; fight ; struggle 	 verb 
 преодолевать 	 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 verb 
 атаковать 	 assail ; assault ; set on ; attack 	 verb 
 зажигать ; поджигать 	 open fire ; fire 	 verb 
