 対 [たい] 	 against 	 preposition 
 支配 	 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 abstract 
 安楽 	 comfort ; comfortableness 	 abstract 
 入り用 [いりよう] 	 need ; demand 	 abstract 
 機会 	 opportunity ; chance 	 abstract 
 低気圧 	 low ; depression 	 nature 
 湿気 	 moisture ; wet 	 nature 
 危険 	 danger 	 abstract 
 材料 	 material ; stuff 	 material 
 海綿動物 	 sponge 	 object 
 酸 	 acid 	 material 
 金属 	 metallic element ; metal 	 material 
 銅 	 copper ; Cu ; atomic number 29 	 material 
 金 	 gold ; Au ; atomic number 79 	 material 
 黒金 [くろがね] 	 iron ; Fe ; atomic number 26 	 material 
 鉛 	 lead ; Pb ; atomic number 82 	 material 
 銀 	 silver ; Ag ; atomic number 47 	 material 
 錫 [すず] 	 tin ; Sn ; atomic number 50 	 material 
 練り物 	 paste 	 material 
 黄銅 [こうどう] 	 brass 	 material 
 革 [かわ] 	 leather 	 material 
 炭水化物 	 carbohydrate ; saccharide ; sugar 	 food 
 鋼鉄 [こうてつ] 	 steel 	 material 
 化学薬品 	 chemical ; chemical substance 	 material 
 石炭 	 coal 	 material 
 コルク 	 cork 	 nature 
 粉末 	 dust 	 material 
 空気 	 air 	 nature 
 息 	 breath 	 anatomy 
 地上 	 earth ; ground 	 material 
 水 	 water ; H2O 	 material 
 廃棄物 	 waste ; waste material ; waste matter ; waste product 	 material 
 脂肪 	 fat 	 material 
 綿 	 cotton ; cotton fiber ; cotton wool 	 material 
 ガラス 	 glass 	 material 
 氷 	 ice ; water ice 	 material 
 インク 	 ink 	 material 
 液体 	 liquid 	 nature 
 油 	 oil 	 material 
 紙 	 paper 	 material 
 石油 	 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 material 
 絵の具 	 coloring material ; colouring material ; color ; colour 	 art 
 磨き [みがき] 	 polish 	 material 
 粉 	 powder ; pulverization ; pulverisation 	 material 
 砂 	 sand 	 material 
 毒 	 poison ; toxicant ; poisonous substance 	 material 
 蒸気 	 steam 	 physics 
 ワックス 	 wax 	 material 
 木材 	 wood 	 material 
 ウール 	 wool 	 material 
 現在 	 present ; nowadays 	 time 
 前歴 	 past ; past times ; yesteryear 	 time 
 来歴 	 history 	 society 
 未来 	 future ; hereafter ; futurity ; time to come 	 time 
 時 	 fourth dimension ; time 	 physics 
 週 	 week ; calendar week 	 time 
 日 [ひ] 	 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 nature 
 明日 	 tomorrow 	 time 
 朝 	 morning ; morn ; morning time ; forenoon 	 time 
 夜 	 night ; nighttime ; dark 	 nature 
 年度 	 year ; twelvemonth ; yr 	 time 
 月 	 calendar month ; month 	 time 
 時 	 hour ; hr ; 60 minutes 	 time 
 分 	 minute ; min 	 time 
 秒 	 second ; sec ; s 	 time 
 秋 	 fall ; autumn 	 nature 
 春 	 spring ; springtime 	 nature 
 夏 	 summer ; summertime 	 nature 
 冬 	 winter ; wintertime 	 nature 
 開始 	 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 abstract 
 局面 	 phase ; stage 	 time 
 笑う 	 laugh ; express joy ; express mirth 	 verb 
 泣く 	 cry ; weep 	 verb 
 傷付ける [きずつける] 	 injure ; wound 	 verb 
 変わる 	 change ; alter ; modify 	 verb 
 増える 	 increase 	 verb 
 濡らす 	 wet 	 verb 
 乾かす 	 dry ; dry out 	 verb 
 限る 	 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 verb 
 始める [はじめる] 	 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 verb 
 暖める 	 warm 	 verb 
 調える [ととのえる] 	 fix ; prepare ; set up ; ready ; gear up ; set 	 verb 
 仕上げる [しあげる] 	 complete ; finish 	 verb 
 扱う [あつかう] 	 process ; treat 	 verb 
 仕込む [しこむ] 	 train ; develop ; prepare ; educate 	 verb 
 考える 	 reason 	 verb 
 測る 	 measure ; mensurate ; measure out 	 verb 
 並べ替え 	 classify ; class ; sort ; assort ; sort out ; separate 	 verb 
 見積もる 	 estimate ; gauge ; approximate ; guess ; judge 	 verb 
 疑う 	 doubt 	 verb 
 言い渡す [いいわたす] 	 order ; tell ; enjoin ; say 	 verb 
 頼む 	 request ; bespeak ; call for ; quest 	 verb 
 来たす [きたす] 	 induce ; stimulate ; cause ; have ; get ; make 	 verb 
 論じる [ろんじる] 	 argue ; reason 	 verb 
 呼び出す 	 call ; telephone ; call up ; phone ; ring 	 verb 
 立ち向かう 	 confront ; face up ; face 	 verb 
 応じる 	 answer ; reply ; respond 	 verb 
 叫ぶ 	 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 verb 
 話す 	 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 verb 
 書き記す [かきしるす] 	 record ; tape 	 verb 
 言う 	 state ; say ; tell 	 verb 
 名づける 	 name ; call 	 verb 
 送る 	 mail ; post ; send 	 verb 
 遊ぶ 	 play 	 verb 
 戦う 	 contend ; fight ; struggle 	 verb 
 倒す [たおす] 	 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 verb 
 攻める [せめる] 	 assail ; assault ; set on ; attack 	 verb 
 撃つ 	 open fire ; fire 	 verb 
 用いる 	 use ; utilize ; utilise ; apply ; employ 	 verb 
 飲む 	 drink ; imbibe 	 verb 
 磨く 	 polish ; smooth ; smoothen ; shine 	 verb 
 結ぶ 	 join ; bring together 	 verb 
 縫う 	 sew ; run up ; sew together ; stitch 	 verb 
 貼る [はる] 	 glue ; paste 	 verb 
 閉める 	 close ; shut 	 verb 
 開ける 	 open ; open up 	 verb 
 蹴る [ける] 	 kick 	 verb 
 引く 	 pull ; draw ; force 	 verb 
 置く 	 put ; set ; place ; pose ; position ; lay 	 verb 
 巻く [まく] 	 wind ; wrap ; roll ; twine 	 verb 
 働く 	 function ; work ; operate ; go ; run 	 verb 
 洗う 	 wash ; launder 	 verb 
 切る 	 cut 	 verb 
 和らげる 	 cushion ; buffer ; soften 	 verb 
 押しつぶす 	 squash ; crush ; squelch ; mash ; squeeze 	 verb 
 する 	 make ; create 	 verb 
 造り出す [つくりだす] 	 produce ; make ; create 	 verb 
 仕組む [しくむ] 	 design ; plan 	 verb 
 コピー ; 転送 	 copy ; re-create 	 verb 
 写す 	 imitate ; copy ; simulate 	 verb 
 刷る [する] 	 print ; impress 	 verb 
 感じる 	 feel ; experience 	 verb 
 憎む 	 hate ; detest 	 verb 
 愛する 	 love 	 verb 
 好きだ 	 like 	 verb 
 悔いる [くいる] 	 repent ; regret ; rue 	 verb 
 望む 	 hope 	 verb 
 慰める 	 comfort ; soothe ; console ; solace 	 verb 
 欲する 	 desire ; want 	 verb 
 行く 	 travel ; go ; move ; locomote 	 verb 
 来る 	 come ; come up 	 verb 
 動く 	 move ; displace 	 verb 
 止める 	 stop ; halt 	 verb 
 押す 	 push ; force 	 verb 
 歩く 	 walk 	 verb 
 回す 	 turn 	 verb 
 走る 	 run 	 verb 
 飛ぶ 	 fly ; wing 	 verb 
 運ぶ [はこぶ] 	 transport ; send ; ship 	 verb 
 跳び上がる 	 jump ; leap ; bound ; spring 	 verb 
 落ちる 	 fall 	 verb 
 持ち上げる 	 raise ; lift ; elevate ; get up ; bring up 	 verb 
 導く 	 lead ; take ; direct ; conduct ; guide 	 verb 
 匂う [におう] 	 smell 	 verb 
 臭う [におう] 	 smell 	 verb 
 見る 	 see 	 verb 
 見る 	 look 	 verb 
 見える [みえる] 	 look ; appear ; seem 	 verb 
 眺める 	 watch ; view ; see ; catch ; take in 	 verb 
 舐める [なめる] 	 taste ; savor ; savour 	 verb 
 与える 	 give 	 verb 
 生む 	 have ; have got ; hold 	 verb 
 擁する [ようする] 	 own ; have ; possess 	 verb 
 得る [うる] 	 get ; acquire 	 verb 
 申し出る 	 offer 	 verb 
 放り出す [ほうりだす] 	 displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 verb 
 許す [ゆるす] 	 free ; liberate ; release ; unloose ; unloosen ; loose 	 verb 
 制する [せいする] 	 control ; command 	 verb 
 敬う [うやまう] 	 respect ; honor ; honour ; abide by ; observe 	 verb 
 分ける 	 divide ; split ; split up ; separate ; dissever ; carve up 	 verb 
 試みる 	 try ; seek ; attempt ; essay ; assay 	 verb 
 試みる [こころみる] 	 test ; prove ; try ; try out ; examine ; essay 	 verb 
 汚す [よごす] 	 dishonor ; disgrace ; dishonour ; attaint ; shame 	 verb 
 手伝う 	 help ; assist ; aid 	 verb 
 従う 	 heed ; mind ; listen 	 verb 
 治める 	 govern ; rule 	 verb 
 ある ; いる 	 be 	 verb 
 終える 	 end ; stop ; finish ; terminate ; cease 	 verb 
 取る [とる] 	 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 verb 
 含む [ふくむ] 	 embrace ; encompass ; comprehend ; cover 	 verb 
 合う 	 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 verb 
 超える 	 exceed ; transcend ; overstep ; pass ; go past ; top 	 verb 
 つかむ 	 keep ; maintain ; hold 	 verb 
 粘っこい [ねばっこい] 	 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 adjective 
 亡い [ない] 	 dead 	 adjective 
 自動的 [じどうてき] 	 automatic 	 adjective 
 美しい 	 beautiful 	 adjective 
 確か [たしか] 	 certain ; sure 	 adjective 
 青い 	 blue ; bluish ; blueish 	 color 
 緑 	 green ; greenish ; light-green ; dark-green 	 color 
 オレンジ 	 orange ; orangish 	 color 
 赤 	 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 color 
 黄色い [きいろい] 	 yellow ; yellowish ; xanthous 	 color 
 黒い [くろい] 	 black 	 adjective 
 白い 	 white 	 adjective 
 明朗 [めいろう] 	 bright ; brilliant ; vivid 	 adjective 
 暗い 	 dark 	 adjective 
 汚い [きたない] 	 dirty ; soiled ; unclean 	 adjective 
 鋭い [するどい] 	 astute ; sharp ; shrewd 	 adjective 
 遠い 	 far 	 adjective 
 近い 	 near ; close ; nigh 	 adjective 
 格別 [かくべつ] 	 especial ; exceptional ; particular ; special 	 adjective 
 水っぽい 	 sparse ; thin 	 adjective 
 正しい 	 correct ; right 	 adjective 
 不可 [ふか] 	 incorrect ; wrong 	 adjective 
 膠も無い [にべもない] 	 brusque ; brusk ; curt ; short 	 adjective 
 弱い [よわい] 	 delicate ; fragile ; frail 	 adjective 
 難しい 	 difficult ; hard 	 adjective 
 軽易 [けいい] 	 elementary ; simple ; uncomplicated ; unproblematic 	 adjective 
 早い 	 early 	 adjective 
 等しい 	 equal 	 adjective 
 平たい [ひらたい] 	 even ; fifty-fifty 	 adjective 
 平たい [ひらたい] 	 flat ; level ; plane 	 adjective 
 高い 	 costly ; dear ; high-priced ; pricey ; pricy 	 adjective 
 安い 	 cheap ; inexpensive 	 adjective 
 遅い 	 slow 	 adjective 
 太った 	 fat 	 adjective 
 脂っ濃い [あぶらっこい] 	 fatty ; fat 	 adjective 
 硬い 	 rigid ; stiff 	 adjective 
 見知らぬ 	 foreign ; strange 	 adjective 
 弱々しい 	 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 adjective 
 全般的 [ぜんぱんてき] 	 general 	 adjective 
 望ましい 	 good 	 adjective 
 素敵 [すてき] 	 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 adjective 
 悪い [わるい] 	 bad 	 adjective 
 悲しい 	 deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry 	 adjective 
 うれしい 	 happy 	 adjective 
 硬い [かたい] 	 firm ; solid 	 adjective 
 柔らかい 	 soft 	 adjective 
 健やか [すこやか] 	 good ; sound 	 adjective 
 軽い 	 light 	 adjective 
 低い 	 low 	 adjective 
 以下 [いか] 	 nether ; under 	 adjective 
 冷たい 	 cold 	 adjective 
 一寸した [ちょっとした] 	 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 adjective 
 物悲しい [ものがなしい] 	 sad 	 adjective 
 小さい 	 small ; little 	 adjective 
 細かい [こまかい] 	 infinitesimal ; minute 	 adjective 
 細やか [ささやか] 	 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 adjective 
 短い 	 short 	 adjective 
 きつい 	 tight 	 adjective 
 高らか [たからか] 	 loud 	 adjective 
 愛しい [いとしい] 	 beloved ; darling ; dear 	 adjective 
 オス 	 male 	 adjective 
 激しい 	 fierce ; tearing ; vehement ; violent ; trigger-happy 	 adjective 
 軍事 	 military 	 adjective 
 必然的 [ひつぜんてき] 	 necessary 	 adjective 
 庶民的 [しょみんてき] 	 normal 	 adjective 
 古い 	 old 	 adjective 
 若い 	 young ; immature 	 adjective 
 クローズ 	 shut ; unopen ; closed 	 adjective 
 窃か [ひそか] 	 clandestine ; cloak-and-dagger ; hole-and-corner ; hugger-mugger ; hush-hush ; secret ; surreptitious ; undercover ; underground 	 adjective 
 プレゼント 	 present 	 adjective 
 私設 [しせつ] 	 private 	 adjective 
 肉的 [にくてき] 	 physical 	 adjective 
 鋭い 	 acuate ; acute ; sharp ; needlelike 	 adjective 
 政治的 [せいじてき] 	 political 	 adjective 
 強い [つよい] 	 potent ; strong ; stiff 	 adjective 
 静か [しずか] 	 quiet 	 adjective 
 黙黙 [もくもく] 	 silent ; soundless ; still 	 adjective 
 規則正しい 	 regular 	 adjective 
 順当 [じゅんとう] 	 right 	 adjective 
 左側 [ひだりがわ] 	 left 	 adjective 
 丸い 	 round ; circular 	 adjective 
 四角い [しかくい] 	 square 	 adjective 
 恙無い [つつがない] 	 safe 	 adjective 
 同じ 	 same 	 adjective 
 新しい 	 new 	 adjective 
 オープン 	 open ; opened 	 adjective 
 重重しい [おもおもしい] 	 serious 	 adjective 
 熟練した [じゅくれんした] 	 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 adjective 
 粗末 [そまつ] 	 crude ; rough 	 adjective 
 荒っぽい 	 rough ; unsmooth 	 adjective 
 どれでも 	 any ; whatever ; whatsoever 	 adjective 
 総て [すべて] 	 all 	 adjective 
 各各 [おのおの] 	 every 	 adjective 
 弱い 	 faint ; feeble 	 adjective 
 甘い 	 sweet 	 adjective 
 苦い 	 bitter 	 adjective 
 厚い 	 thick 	 adjective 
 薄い 	 thin 	 adjective 
 濃い 	 thick 	 adjective 
 疲れた 	 tired 	 adjective 
 非道い [ひどい] 	 violent 	 adjective 
 暖い 	 warm 	 adjective 
 湿った [しめった] 	 wet 	 adjective 
 索然 [さくぜん] 	 dry 	 adjective 
 広い 	 wide ; broad 	 adjective 
 狭い 	 narrow 	 adjective 
 賢い 	 wise 	 adjective 
 馬鹿げた [ばかげた] 	 foolish 	 adjective 
 化学的 [かがくてき] 	 chemical ; chemic 	 adjective 
 物理的 [ぶつりてき] 	 physical 	 adjective 
 単に 	 merely ; simply ; just ; only ; but 	 adverb 
 内外 [ないがい] 	 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 adverb 
 当然 	 well ; good 	 adverb 
 然し乍ら [しかしながら] 	 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 adverb 
 もっと 	 still 	 adverb 
 非常に 	 very ; really ; real ; rattling 	 adverb 
 再び 	 again ; once again ; once more ; over again 	 adverb 
 ただちに 	 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 adverb 
 直に [じきに] 	 directly ; straight ; direct 	 adverb 
 前 [まえ] 	 earlier ; before 	 adverb 
 危うく [あやうく] 	 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 adverb 
 小さい [ちいさい] 	 little 	 adverb 
 最前 [さいぜん] 	 first ; firstly ; foremost ; first of all ; first off 	 adverb 
 同然 [どうぜん] 	 right 	 adverb 
 そら 	 there ; at that place ; in that location 	 adverb 
 一緒に 	 together 	 adverb 
 然らば [しからば] 	 then ; so ; and so ; and then 	 adverb 
 十分 	 enough ; plenty 	 adverb 
 斯うした [こうした] 	 such 	 adverb 
 ゆっくり 	 slowly ; slow ; easy ; tardily 	 adverb 
 恰度 [ちょうど] 	 right 	 adverb 
 明日 [みょうにち] 	 tomorrow 	 adverb 
 昨日 [さくじつ] 	 yesterday 	 adverb 
 化学 	 chemistry ; chemical science 	 science 
 ドイツ連邦共和国 	 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 country 
 フランス共和国 	 France ; French Republic 	 country 
 インド 	 India ; Republic of India ; Bharat 	 country 
 天文学 	 astronomy ; uranology 	 astronomy 
 十二月 [じゅうにがつ] 	 December ; Dec 	 time 
 十月 [じゅうがつ] 	 October ; Oct 	 time 
 十一月 [じゅういちがつ] 	 November ; Nov 	 time 
 政治学 	 politics 	 diplomacy 
 九月 [くがつ] 	 September ; Sep ; Sept 	
 阿弗利加 [あふりか] 	 Africa 	
 四月 [しがつ] 	 April ; Apr 	 time 
 数学 	 mathematics ; math ; maths 	 mathematics 
 物理学 [ぶつりがく] 	 physics ; natural philosophy 	 physics 
 六月 [ろくがつ] 	 June 	 time 
 七月 [しちがつ] 	 July 	 time 
 アルゼンチン共和国 	 Argentina ; Argentine Republic 	 country 
 チェス 	 chess ; chess game 	
 正月 [しょうがつ] 	 January ; Jan 	 time 
 地理 	 geography ; geographics 	
 水素 	 hydrogen ; H ; atomic number 1 	 chemical element 
